,total_mask_num,match_num,match_ratio
658,4,1,0.25
659,3,0,0.0
660,2,0,0.0
661,3,0,0.0
662,2,0,0.0
663,2,1,0.5
664,4,1,0.25
665,0,0,NAN
666,9,0,0.0
667,0,0,NAN
668,8,0,0.0
669,3,0,0.0
670,3,0,0.0
671,3,0,0.0
672,3,0,0.0
673,7,0,0.0
674,0,0,NAN
675,3,0,0.0
676,2,1,0.5
677,3,0,0.0
678,5,0,0.0
679,5,1,0.2
680,2,0,0.0
681,3,0,0.0
682,3,1,0.3333333333333333
683,4,1,0.25
684,4,1,0.25
685,0,0,NAN
686,3,0,0.0
687,3,0,0.0
688,6,0,0.0
689,0,0,NAN
690,2,1,0.5
691,4,0,0.0
692,5,1,0.2
693,4,0,0.0
694,5,1,0.2
695,4,1,0.25
696,7,2,0.2857142857142857
697,7,1,0.14285714285714285
698,0,0,NAN
699,3,1,0.3333333333333333
700,4,1,0.25
701,4,0,0.0
702,3,1,0.3333333333333333
703,3,0,0.0
704,1,0,0.0
705,5,0,0.0
706,4,1,0.25
707,3,1,0.3333333333333333
708,1,0,0.0
709,2,0,0.0
710,3,1,0.3333333333333333
711,2,1,0.5
712,4,1,0.25
713,0,0,NAN
714,3,0,0.0
715,0,0,NAN
716,3,1,0.3333333333333333
717,5,0,0.0
718,2,0,0.0
719,4,0,0.0
720,2,0,0.0
721,3,0,0.0
722,5,0,0.0
723,5,1,0.2
724,3,0,0.0
725,1,0,0.0
726,5,0,0.0
727,3,0,0.0
728,5,0,0.0
729,5,1,0.2
730,5,2,0.4
731,4,0,0.0
732,6,0,0.0
733,4,3,0.75
734,4,0,0.0
735,2,0,0.0
736,2,0,0.0
737,4,2,0.5
738,6,1,0.16666666666666666
739,4,0,0.0
740,1,1,1.0
741,2,0,0.0
742,2,0,0.0
743,1,0,0.0
744,4,0,0.0
745,2,0,0.0
746,3,0,0.0
747,7,0,0.0
748,8,0,0.0
749,7,0,0.0
750,3,1,0.3333333333333333
751,3,0,0.0
752,2,0,0.0
753,1,0,0.0
754,2,0,0.0
755,5,1,0.2
756,3,0,0.0
757,1,0,0.0
758,2,0,0.0
759,4,2,0.5
760,3,1,0.3333333333333333
761,9,1,0.1111111111111111
762,7,0,0.0
763,3,0,0.0
764,4,0,0.0
765,4,2,0.5
766,5,0,0.0
767,5,0,0.0
768,0,0,NAN
769,6,0,0.0
770,1,0,0.0
771,4,1,0.25
772,2,0,0.0
773,5,1,0.2
774,2,0,0.0
775,4,1,0.25
776,6,2,0.3333333333333333
777,5,1,0.2
778,0,0,NAN
779,1,1,1.0
780,2,0,0.0
781,2,0,0.0
782,4,0,0.0
783,6,1,0.16666666666666666
784,7,0,0.0
785,1,0,0.0
786,5,0,0.0
787,4,0,0.0
788,6,0,0.0
789,1,0,0.0
790,2,0,0.0
791,8,2,0.25
792,7,2,0.2857142857142857
793,6,1,0.16666666666666666
794,1,0,0.0
795,5,0,0.0
796,4,0,0.0
797,9,0,0.0
798,7,0,0.0
799,3,0,0.0
800,7,0,0.0
801,2,1,0.5
802,4,1,0.25
803,2,0,0.0
804,4,0,0.0
805,9,4,0.4444444444444444
806,0,0,NAN
807,4,0,0.0
808,6,1,0.16666666666666666
809,6,2,0.3333333333333333
810,0,0,NAN
811,9,0,0.0
812,4,1,0.25
813,13,0,0.0
814,4,1,0.25
815,5,0,0.0
816,3,1,0.3333333333333333
817,4,0,0.0
818,1,0,0.0
819,6,0,0.0
820,5,0,0.0
821,3,0,0.0
822,1,0,0.0
823,3,1,0.3333333333333333
824,5,0,0.0
825,9,2,0.2222222222222222
826,2,1,0.5
827,2,0,0.0
828,1,0,0.0
829,2,0,0.0
830,2,0,0.0
831,3,0,0.0
832,3,0,0.0
833,7,0,0.0
834,3,0,0.0
835,4,3,0.75
836,2,0,0.0
837,0,0,NAN
838,7,1,0.14285714285714285
839,2,0,0.0
840,1,1,1.0
841,3,0,0.0
842,3,0,0.0
843,5,2,0.4
844,2,0,0.0
845,6,0,0.0
846,3,0,0.0
847,2,1,0.5
848,2,0,0.0
849,4,1,0.25
850,4,1,0.25
851,1,0,0.0
852,4,0,0.0
853,1,0,0.0
854,6,0,0.0
855,4,3,0.75
856,1,0,0.0
857,3,2,0.6666666666666666
