,0,1,2,3,4,5,6,7,8,9,10,11
97,6C:EC:EB:1F:F4:74_-76,7C:66:9D:7B:29:FB_-81,6C:EC:EB:1F:F6:26_-81,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F6:65_-70,BC:6A:29:BE:31:57_-88,7C:66:9D:7B:2B:90_-82,,,,,
98,6C:EC:EB:1F:F4:74_-66,6C:EC:EB:1F:FD:83_-81,6C:EC:EB:1F:F4:74_-74,,,,,,,,,
99,BC:6A:29:BE:31:57_-76,7C:66:9D:7B:2D:4A_-71,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2D:4A_-71,,,,,,,,
100,6C:EC:EB:1F:FD:9B_-89,BC:6A:29:BE:2F:23_-86,,,,,,,,,,
101,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F6:24_-68,6C:EC:EB:1F:F4:74_-73,,,,,,,,
102,6C:EC:EB:1F:FD:83_-64,6C:EC:EB:1F:F6:26_-79,,,,,,,,,,
103,BC:6A:29:BE:2F:76_-78,BC:6A:29:BE:2F:76_-80,6C:EC:EB:1F:F6:26_-98,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FB_-82,,,,,,,
104,BC:6A:29:BE:2F:23_-62,6C:EC:EB:1F:F6:24_-68,6C:EC:EB:1F:F6:65_-81,6C:EC:EB:1F:F6:55_-88,,,,,,,,
105,7C:66:9D:7B:29:FB_-85,BC:6A:29:BE:31:57_-65,,,,,,,,,,
106,7C:66:9D:7B:29:FB_-84,BC:6A:29:BE:31:57_-72,7C:66:9D:7B:29:FA_-75,7C:66:9D:7B:29:FB_-84,BC:6A:29:BE:31:57_-73,7C:66:9D:7B:29:FA_-75,,,,,,
107,BC:6A:29:BE:2F:23_-81,BC:6A:29:BE:2F:23_-82,,,,,,,,,,
108,6C:EC:EB:1F:F6:65_-87,,,,,,,,,,,
109,BC:6A:29:BE:2F:76_-59,BC:6A:29:BE:2F:76_-60,,,,,,,,,,
110,6C:EC:EB:1F:F6:65_-92,6C:EC:EB:1F:F6:26_-82,,,,,,,,,,
111,BC:6A:29:BE:2F:76_-75,BC:6A:29:BE:2F:76_-74,,,,,,,,,,
112,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:F4:46_-79,6C:EC:EB:1F:F6:26_-74,7C:66:9D:7B:2B:90_-74,,,,,,,,
113,BC:6A:29:BE:2F:23_-86,6C:EC:EB:1F:F4:74_-62,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F4:74_-61,6C:EC:EB:1F:FD:83_-87,6C:EC:EB:1F:F6:24_-93,,,,,,
114,7C:66:9D:7B:2B:9F_-81,6C:EC:EB:1F:F6:24_-90,,,,,,,,,,
115,7C:66:9D:7B:2D:4A_-70,BC:6A:29:BE:2F:76_-71,7C:66:9D:7B:2D:4A_-70,BC:6A:29:BE:31:57_-83,7C:66:9D:7B:29:FA_-80,BC:6A:29:BE:2F:76_-70,7C:66:9D:7B:29:FB_-74,7C:66:9D:7B:2D:4A_-78,BC:6A:29:BE:31:57_-68,7C:66:9D:7B:29:FA_-86,,
116,7C:66:9D:7B:2B:9F_-62,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F4:46_-70,,,,,,,,,
117,7C:66:9D:7B:29:FB_-81,6C:EC:EB:1F:F6:55_-88,BC:6A:29:BE:31:57_-59,6C:EC:EB:1F:F6:15_-84,7C:66:9D:7B:29:FA_-79,BC:6A:29:BE:31:57_-59,7C:66:9D:7B:2B:90_-63,,,,,
118,6C:EC:EB:1F:F6:24_-65,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,
119,7C:66:9D:7B:29:FB_-75,7C:66:9D:7B:29:FB_-75,,,,,,,,,,
