,0,1,2,3,4,5,6,7,8,9,10,11
64,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:F4:74_-70,7C:66:9D:7B:29:FB_-86,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:F6:24_-85,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:FD:83_-79,,
65,6C:EC:EB:1F:F4:74_-70,,,,,,,,,,,
66,6C:EC:EB:1F:F6:26_-72,6C:EC:EB:1F:F6:26_-72,6C:EC:EB:1F:F6:26_-72,6C:EC:EB:1F:F6:26_-72,6C:EC:EB:1F:F6:26_-72,6C:EC:EB:1F:F4:46_-82,,,,,,
67,6C:EC:EB:1F:F4:46_-91,6C:EC:EB:1F:F4:46_-86,BC:6A:29:BE:2F:23_-70,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F4:46_-95,,,,,,,
68,6C:EC:EB:1F:F4:74_-71,6C:EC:EB:1F:F4:74_-71,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F4:74_-71,6C:EC:EB:1F:F4:74_-71,,,,,,,
69,BC:6A:29:BE:2F:23_-84,BC:6A:29:BE:2F:23_-84,BC:6A:29:BE:2F:23_-84,,,,,,,,,
70,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:FD:83_-72,7C:66:9D:7B:2B:9F_-85,6C:EC:EB:1F:F6:65_-68,,,,
71,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:29:FB_-78,,,,,,,
72,BC:6A:29:BE:2F:23_-71,,,,,,,,,,,
73,BC:6A:29:BE:2F:23_-75,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,6C:EC:EB:1F:F6:26_-70,
74,6C:EC:EB:1F:F4:46_-80,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:2B:9F_-76,,,,,,,
75,7C:66:9D:7B:2B:90_-67,,,,,,,,,,,
76,6C:EC:EB:1F:F6:76_-68,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,6C:EC:EB:1F:F6:24_-75,BC:6A:29:BE:2F:23_-76,6C:EC:EB:1F:F6:65_-56,,,,,
77,,,,,,,,,,,,
78,6C:EC:EB:1F:F4:46_-73,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,7C:66:9D:7B:2B:9F_-75,BC:6A:29:BE:2F:23_-76,,,,,
79,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,,,,,,,,,,
80,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,,,,,,,
81,7C:66:9D:7B:29:FB_-66,7C:66:9D:7B:29:FB_-66,7C:66:9D:7B:29:FB_-66,7C:66:9D:7B:29:FB_-66,7C:66:9D:7B:29:FB_-66,7C:66:9D:7B:29:FB_-69,7C:66:9D:7B:29:FB_-66,,,,,
82,6C:EC:EB:1F:F4:46_-77,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:24_-76,,,,,,,,,
83,7C:66:9D:7B:2D:4A_-73,7C:66:9D:7B:2D:4A_-73,7C:66:9D:7B:2D:4A_-73,7C:66:9D:7B:2D:4A_-73,,,,,,,,
84,6C:EC:EB:1F:F6:24_-83,6C:EC:EB:1F:F6:26_-86,6C:EC:EB:1F:F6:26_-86,6C:EC:EB:1F:F6:26_-86,6C:EC:EB:1F:F6:26_-86,,,,,,,
85,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F4:46_-75,6C:EC:EB:1F:F6:24_-82,6C:EC:EB:1F:F4:46_-75,,,,,,,,
86,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,,,,,
87,7C:66:9D:7B:2B:90_-67,,,,,,,,,,,
88,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-62,7C:66:9D:7B:29:FA_-61,7C:66:9D:7B:29:FA_-62,,,,,,,
89,BC:6A:29:BE:2F:23_-70,BC:6A:29:BE:2F:23_-70,,,,,,,,,,
90,,,,,,,,,,,,
91,BC:6A:29:BE:31:57_-86,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-67,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,6C:EC:EB:1F:F6:24_-70,,,,,,
92,7C:66:9D:7B:29:FB_-84,,,,,,,,,,,
93,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F6:26_-76,6C:EC:EB:1F:F6:26_-76,6C:EC:EB:1F:F6:26_-76,,,,,,,,
94,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F6:65_-77,,,,,,,,,
95,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,,,,,,,,
96,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:65_-80,,,,,
97,6C:EC:EB:1F:F6:65_-71,6C:EC:EB:1F:F6:65_-71,6C:EC:EB:1F:F6:65_-71,6C:EC:EB:1F:F6:65_-71,6C:EC:EB:1F:F6:65_-71,6C:EC:EB:1F:F6:65_-71,6C:EC:EB:1F:F6:65_-71,,,,,
98,6C:EC:EB:1F:F6:76_-75,6C:EC:EB:1F:FD:83_-81,6C:EC:EB:1F:F6:76_-75,,,,,,,,,
99,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,,,,,,,,
100,7C:66:9D:7B:29:FB_-76,7C:66:9D:7B:29:FB_-76,,,,,,,,,,
101,6C:EC:EB:1F:FD:83_-88,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,BC:6A:29:BE:2F:23_-76,,,,,,,,
102,6C:EC:EB:1F:FD:83_-66,6C:EC:EB:1F:FD:83_-66,,,,,,,,,,
103,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,7C:66:9D:7B:29:FA_-71,BC:6A:29:BE:31:57_-73,,,,,,,
104,BC:6A:29:BE:2F:23_-62,BC:6A:29:BE:2F:23_-62,6C:EC:EB:1F:FB:96_-92,BC:6A:29:BE:2F:23_-62,,,,,,,,
105,BC:6A:29:BE:31:57_-66,BC:6A:29:BE:31:57_-66,,,,,,,,,,
