reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,6C:EC:EB:1F:FB:96,6C:EC:EB:1F:F4:4F,6C:EC:EB:1F:F8:E8,6C:EC:EB:1F:FB:C7,6C:EC:EB:1F:FD:9B,20:CD:39:7D:42:D1,6C:EC:EB:1F:FB:B0,6C:EC:EB:1F:FD:8E,6C:EC:EB:1F:F4:46,6C:EC:EB:1F:F4:74,6C:EC:EB:1F:F6:24,6C:EC:EB:1F:FD:83,6C:EC:EB:1F:F6:26,6C:EC:EB:1F:F6:65,6C:EC:EB:1F:F6:76,6C:EC:EB:1F:F6:55,6C:EC:EB:1F:F6:15,6C:EC:EB:1F:F6:2D,7C:66:9D:7B:2B:9F,BC:6A:29:BE:2F:23,7C:66:9D:7B:29:FB,7C:66:9D:7B:2B:90,BC:6A:29:BE:31:57,7C:66:9D:7B:29:FA,BC:6A:29:BE:2F:76,7C:66:9D:7B:2D:4A
6,13.253,5.959,5,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-77.0,-80.5,-82.0,-70.0,-128.0,-68.0,-128.0,-128.0,-128.0,-128.0,-128.0,-72.4,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
3,13.253,10.033,2,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-71.5,-71.33333333333333,-74.0,-79.75,-85.0,-72.0,-128.0,-128.0,-128.0,-128.0,-70.0,-79.33333333333333,-128.0,-85.0,-128.0,-128.0,-128.0,-128.0
19,23.37,1.181,18,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-91.0,-128.0,-128.0,-128.0,-128.0,-70.33333333333333,-73.66666666666667,-58.66666666666666,-78.6,-82.0,-128.0
5,13.253,7.5539999999999985,4,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-83.5,-84.75,-128.0,-76.0,-128.0,-128.0,-78.5,-128.0,-128.0,-128.0,-128.0,-85.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
18,26.342,6.574,17,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-88.0,-77.75,-63.0,-75.66666666666667
17,26.342,3.903,16,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-89.0,-67.2,-58.5,-68.25
20,17.942999999999994,1.181,19,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-66.25,-62.25,-128.0,-82.8,-128.0,-128.0
2,14.227,10.88,1,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-71.0,-56.0,-128.0,-77.5,-85.0,-77.0,-80.0,-128.0,-128.0,-128.0,-82.5,-80.0,-128.0,-89.0,-128.0,-128.0,-128.0,-128.0
14,13.939,1.181,13,1,-93.0,-128.0,-128.0,-128.0,-128.0,-128.0,-89.0,-128,-128.0,-128.0,-83.25,-128.0,-74.25,-128.0,-128.0,-68.6,-70.66666666666667,-81.0,-128.0,-84.0,-66.8,-68.0,-70.66666666666667,-85.0,-128.0,-128.0
6,13.253,5.959,5,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-74.33333333333333,-128.0,-76.33333333333333,-63.33333333333334,-76.2,-58.0,-78.0,-128.0,-128.0,-128.0,-77.0,-69.6,-79.0,-128.0,-128.0,-128.0,-128.0,-128.0
2,14.227,10.88,1,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-79.8,-60.75,-83.0,-81.0,-86.0,-87.0,-80.0,-128.0,-128.0,-128.0,-79.25,-79.66666666666667,-128.0,-128.0,-93.5,-128.0,-128.0,-128.0
16,26.342,1.181,15,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-82.2,-72.4,-64.8,-65.8,-74.0,-81.8
7,14.227,4.933,6,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-93.25,-93.5,-79.25,-74.5,-92.33333333333331,-58.0,-82.33333333333333,-95.0,-128.0,-128.0,-128.0,-67.33333333333333,-82.75,-80.0,-92.0,-128.0,-128.0,-128.0
18,26.342,6.574,17,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-92.0,-78.25,-63.0,-75.75
11,2.736,1.181,10,1,-128.0,-128.0,-128.0,-128.0,-89.66666666666669,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-85.0,-89.0,-89.0,-128.0,-128.0,-128.0
4,14.227,8.273,3,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-84.5,-77.0,-84.66666666666667,-79.75,-128.0,-70.0,-71.5,-128.0,-128.0,-128.0,-79.33333333333333,-82.0,-128.0,-88.0,-128.0,-128.0,-128.0,-128.0
